Index,Price_1,Price_2,Price_3,Price_4,Price_5
1,1002.0,1002.0,998.0,998.0,998.0
2,998.3,998.0,998.0,998.0,1001.0
3,997.3,997.7,1001.6,997.0,997.4
4,996.3,1000.8,997.6,1000.9,997.4
5,995.3,996.8,996.6,1000.9,1000.6
6,994.5,996.7,996.6,1001.9,1000.6
7,993.5,1000.7,996.4,998.4,1001.6
8,993.5,1001.7,996.4,1002.3,998.2
9,992.5,1002.7,1000.4,998.4,997.6
10,991.7,1003.3,1001.4,998.4,996.6
11,991.3,1004.2,1001.1,997.4,1001.6
12,995.3,1004.2,1002.1,1001.2,1000.4
13,995.4,1005.2,1003.1,1001.9,1000.8
14,996.4,1006.2,1003.8,997.9,1000.8
15,993.2,1007.2,999.8,998.5,1001.8
16,996.6,1008.2,998.8,998.5,1002.8
17,992.6,1009.2,997.8,998.2,999.0
18,992.5,1005.7,1002.0,1002.1,999.0
19,991.5,1004.7,1002.2,1002.1,998.2
20,991.4,1004.7,1003.2,999.0,1002.2
21,995.4,1004.1,999.8,999.0,1003.2
22,996.4,1003.2,1003.5,998.0,1004.2
23,997.4,1007.2,1003.5,1001.8,1005.2
24,998.4,1006.7,1004.1,1001.8,1006.2
25,993.8,1006.8,1005.1,998.0,1002.4
26,993.6,1003.0,1001.2,997.0,1005.6
27,993.4,1003.0,1000.2,996.0,1006.5
28,997.4,1002.2,999.2,996.0,1007.5
29,998.4,1002.2,999.2,999.0,1008.5
30,998.0,1001.2,998.2,995.0,1004.5
31,994.2,1000.2,1001.2,994.5,1008.2
32,998.2,999.2,997.2,998.5,1008.3
33,999.2,1003.0,996.2,994.5,1008.4
34,999.2,1004.0,995.5,998.2,1008.8
35,995.2,1005.0,999.5,994.2,1004.8
36,994.2,1002.0,1000.5,994.1,1003.8
37,993.9,1001.0,1001.5,998.0,1002.8
38,993.6,1000.0,998.0,998.9,1001.8
39,997.4,999.6,1002.0,995.2,1000.8
40,993.4,1003.4,998.0,999.1,1000.9
41,997.4,999.4,1001.8,999.1,1004.9
42,993.2,1003.4,997.8,999.3,1004.8
43,993.2,999.4,996.8,995.3,1005.8
44,992.2,999.3,995.8,994.3,1005.8
45,991.2,1003.0,999.8,993.3,1006.7
46,990.8,999.4,996.2,992.3,1007.7
47,994.7,999.4,995.2,996.2,1008.7
48,995.2,999.2,998.9,996.2,1005.2
49,995.2,1003.2,999.9,996.2,1008.5
50,991.9,999.2,999.9,997.2,1009.5
51,991.6,998.7,1000.9,998.2,1010.5
52,991.6,998.4,1001.9,999.2,1007.4
53,994.8,998.0,1002.3,995.6,1006.8
54,990.8,1002.0,1003.3,999.4,1010.8
55,994.8,997.8,1004.3,999.7,1006.8
56,990.9,1001.7,1001.0,995.8,1011.0
57,989.9,998.0,1001.0,999.8,1011.3
58,994.9,997.9,1000.3,1000.8,1011.4
59,990.5,1001.8,999.3,1001.5,1011.5
60,990.5,1002.8,1002.4,1002.5,1012.5
61,989.7,1003.0,998.4,997.5,1013.0
62,989.4,1004.0,998.1,998.5,1013.0
63,988.4,1005.0,997.4,1002.5,1009.7
64,987.4,1001.4,997.4,1003.5,1013.7
65,993.4,1004.5,997.0,999.8,1009.6
66,994.4,1004.5,996.0,999.8,1009.2
67,992.5,1005.5,995.8,998.8,1009.2
68,988.5,1006.5,994.8,997.8,1012.4
69,989.3,1007.5,998.8,996.8,1013.4
70,988.3,1008.5,995.5,1000.2,1008.4
71,988.0,1009.5,999.5,1001.2,1009.6
72,987.0,1010.0,1000.5,1001.4,1013.3
73,990.5,1006.7,1001.5,997.4,1009.4
74,990.5,1006.7,1002.5,996.4,1013.4
75,987.0,1005.7,1003.5,999.5,1009.5
